Município,UF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Ano,ARRECADAÇÃO,Arrecadação
ABADIA DE GOIAS,GO,748293.01,743933.43,947889.34,1326710.17,1481737.43,2380864.09,3643560.5,4534735.71,5877249.54,7841338.72,7305137.1,7600893.5,8634988.28,2017,,
ABADIA DOS DOURADOS,MG,377868.56,367432.4,448066.69,499392.49,556702.73,683420.91,1207955.63,2743175.8,3267699.57,3291358.53,2912465.44,3378452.81,3013558.56,2017,,
ABADIANIA,GO,533029.95,685872.14,863835.95,1230150.65,1368021.86,1995984.56,2996679.83,6206806.65,7117866.66,7868537.4,8876646.96,7806015.38,8168374.26,2017,,
ABAETE,MG,4179358.65,5198049.55,5868576.82,5440673.41,5523713.19,6526988.68,8005829.32,11455173.65,13140499.09,14624455.6,13284862.67,13782165.7,14282333.27,2017,,
ABAETETUBA,PA,2081937.34,2375672.21,2885653.45,3740444.69,4868675.36,5224109.14,6967024.7,15160086.13,17680084.77,20342911.7,23292622.53,25036288.17,26641427.34,2017,,
ABAIARA,CE,110912.12,189133.25,139895.85,158602.77,189166.7,263706.15,304750.04,513058.22,738492.35,985138.05,1028357.27,1110286.1,1212917.36,2017,,
ABAIRA,BA,122118.97,128516.43,135695.93,176124.78,180050.33,152497.77,207694.02,456157.37,532424.83,675978.95,721233.24,746274.2,988521.92,2017,,
ABARE,BA,120452.35,143875.27,160133.89,207425.1,229442.89,252970.07,279308.81,559685.27,639040.43,931418.09,894479.27,1105476.41,1045647.05,2017,,
ABATIA,PR,458044.79,496022.28,664341.67,715101.78,884520.95,927978.05,978803.39,1516611.07,1665460.02,2001113.84,2363875.71,2244624.54,2614929.88,2017,,
ABDON BATISTA,SC,407331.71,401606.61,535780.31,361887.41,458089.36,448113.65,1173019.81,1407234.17,1809007.91,1747160.41,1819300.81,1916417.3,2488954.78,2017,,
ABEL FIGUEIREDO,PA,332387.51,267954.83,330626.19,470605.46,324907.02,383008.85,552677.04,1050169.2,1281431.72,1373187.76,1243199.41,1224966.16,1523357.8,2017,,
ABELARDO LUZ,SC,1888161.06,1639727.21,2085949.1,3103008.95,2808735.58,3692850.17,4136366.35,6856607.67,9123492.47,12249043.28,13854222.47,12670581.23,14135463.53,2017,,
ABRE CAMPO,MG,725300.31,716395.92,1047457.49,1730565.82,1915723.03,2200619.42,2964571.46,4192010.2,4618848.74,6160027.54,5935543.19,6291987.43,6773489.77,2017,,
ABREU E LIMA,PE,35523195.55,39254338.78,43849847.08,46461370.59,41845776.31,51319494.11,55029018.4,61840147.93,66017110.67,74083823.52,68623612.63,59782313.35,72833839.07,2017,,
ABREULANDIA,TO,65167.14,80121.76,106335.54,148529.76,164596.16,189713.6,311248.35,355976.07,426054.14,611563.06,511843.36,858003.46,1012007.79,2017,,
ACAIACA,MG,89766.77,82239.02,102333.01,148472.04,120888.35,150955.54,198624.36,428562.94,551019.41,639501.68,658130.8,721252.67,811423.89,2017,,
ACAILANDIA,MA,17216793.08,14652116.01,12621232.86,16955477.48,15675037.06,18621974.27,23747598.18,29638954.52,43098451.24,47747790.76,44132949.2,42156508.63,45809102.13,2017,,
ACAJUTIBA,BA,223566.22,212839.51,216224.36,266164.12,231385.22,259738.42,308900.62,653340.49,852575.62,1055092.96,1332564.84,1283112.09,1334259.8,2017,,
ACARA,PA,3798893.86,3929131.74,4393353.96,500179.41,485303.55,888613.04,887334.54,1459868.87,1891521.85,2283601.54,2703563.28,3116321.42,5516393.73,2017,,
ACARAPE,CE,184285.32,356966.54,577090.81,484706.27,538914.8,948111.97,1897237.27,3238938.68,4349050.97,2569967.39,2846364.24,2668749.33,3005616.88,2017,,
